iter	Logloss
0	0.6822355986
1	0.6715739965
2	0.6611567736
3	0.6509851813
4	0.641046524
5	0.6313391924
6	0.6218610406
7	0.612603128
8	0.6035608053
9	0.594725132
10	0.5860909224
11	0.5776597261
12	0.5648934841
13	0.5569357872
14	0.5491576195
15	0.5415552855
16	0.5341215134
17	0.5268604755
18	0.5197510719
19	0.5127931237
20	0.5059868097
21	0.4993290901
22	0.492811054
23	0.4864220321
24	0.4801691175
25	0.4706079662
26	0.4646716118
27	0.4556011558
28	0.4499966502
29	0.4445014
30	0.439108938
31	0.4338253438
32	0.4286426008
33	0.4206982851
34	0.4157637954
35	0.4109256864
36	0.4061810374
37	0.4015269876
38	0.3969632983
39	0.392483294
40	0.388086915
41	0.3837779164
42	0.379545629
43	0.3753938079
44	0.371320039
45	0.3673214912
46	0.3633967042
47	0.359544605
48	0.3557623625
49	0.3520613015
50	0.3484286666
51	0.3448378146
52	0.3413122892
53	0.3378437757
54	0.3344376683
55	0.3310908675
56	0.3278033137
57	0.3245725036
58	0.3213964701
59	0.3182785511
60	0.3152063191
61	0.3121852577
62	0.3092117608
63	0.3062905073
64	0.3034157157
65	0.300583005
66	0.2977939844
67	0.2950572073
68	0.2923487127
69	0.2896952033
70	0.2870732546
71	0.28448838
72	0.281953752
73	0.2794725299
74	0.2770279348
75	0.2746180296
76	0.2722440064
77	0.2699043751
78	0.2675980926
79	0.2653239965
80	0.263084054
81	0.2608753145
82	0.2586989403
83	0.2565530837
84	0.2544373274
85	0.2523530126
86	0.2502967119
87	0.2482708097
88	0.2462724149
89	0.24430269
90	0.2423597276
91	0.2404446602
92	0.238555938
93	0.2366918027
94	0.2348493934
95	0.2330303937
96	0.2312400937
97	0.2294736654
98	0.2277272344
99	0.2260044813
