iter	Passed	Remaining
0	79	7865
1	79	3903
2	79	2582
3	80	1920
4	80	1524
5	80	1260
6	80	1071
7	80	928
8	81	819
9	81	731
10	81	658
11	81	598
12	81	546
13	81	503
14	82	465
15	82	431
16	82	402
17	82	376
18	82	353
19	83	332
20	83	313
21	83	296
22	83	280
23	83	265
24	84	252
25	84	240
26	84	228
27	84	217
28	84	207
29	85	198
30	85	189
31	85	181
32	85	173
33	85	166
34	86	159
35	86	153
36	86	147
37	87	142
38	87	137
39	87	131
40	88	126
41	88	122
42	88	117
43	88	113
44	89	108
45	89	104
46	89	100
47	89	97
48	89	93
49	90	90
50	90	86
51	90	83
52	90	80
53	90	77
54	90	74
55	91	71
56	91	68
57	91	66
58	91	63
59	91	61
60	92	58
61	92	56
62	92	54
63	93	52
64	93	50
65	93	48
66	93	46
67	93	44
68	94	42
69	94	40
70	94	38
71	94	36
72	94	35
73	94	33
74	95	31
75	95	30
76	95	28
77	95	26
78	95	25
79	96	24
80	96	22
81	96	21
82	96	19
83	96	18
84	96	17
85	97	15
86	97	14
87	97	13
88	97	12
89	98	10
90	98	9
91	98	8
92	99	7
93	99	6
94	99	5
95	99	4
96	100	3
97	100	2
98	100	1
99	100	0
